Quest,Difficulty
NATIVE_TOKEN_TRANSFER_OUT,EASY
NATIVE_TOKEN_TRANSFER_IN,EASY
LP_ANY_TOKEN,EASY
BTC_TRANSFER_IN,EASY
ETH_TRANSFER_IN,EASY
BNB_TRANSFER_IN,EASY
DEFI1_SWAP,EASY
DEPOSIT_VAULT,EASY
DEFI2_DEPOSIT,EASY
DEFI3_STAKE,EASY
DEFI4_SWAP,EASY
GAME1_MINT,EASY
GAM2_BUY,HARD
DEFI5_SWAP,EASY
DEFI8_DEPOSIT,HARD
NFT1_SELL_OR_MINT,HARD
BUY_DOMAIN_ID,EASY
GAME1_PLAY,MEDIUM
SOCIAL_BUY,MEDIUM
DEFI6_TRADE_VOLUME,MEDIUM
DEFI6_SINGLE_TRADE_VOLUME,MEDIUM
GAME3_MINT,HARD
DEFI5_LEND,EASY
DEFI7_SWAP,EASY
BRIDGE_TOKEN1_FROM_ETHEREUM,HARD
BRIDGE_TOKEN2_FROM_ETHEREUM,HARD
STAKE_NATIVE_TOKEN,EASY
GAME2_BUY_ITEM,HARD
CLAIM_GAS_REWARDS,HARD
BRIDGE_TOKEN3_FROM_ETHEREUM,HARD
BRIDGE_TOKEN1_FROM_POLYGON,HARD